,activity,location,postal code,contact,opening hours,Mon,Tue,Wed,Thu,Fri,Sat,Sun,longitude,latitude,type
27, Try extreme sports at Mega Adventure,"10A Siloso Beach Walk, Singapore 099008",099008,6722 3785,Mon-Fri 2pm-6pm | Sat-Sun & PH 11am-6pm,2pm-6pm,Closed,Closed,Closed,2pm-6pm,11am-6pm,11am-6pm,103.812385,1.255989,"outdoor, exercise, thrill"
31,Snorkel at Adventure Cove Waterpark,"8 Sentosa Gateway, Singapore 098269",098269,not available,Fri-Tue 10am-5pm (Closed Wed-Thu),Closed,10am-5pm,Closed,Closed,10am-5pm,Closed,Closed,103.820331,1.256752,"outdoor, exercise, wet"
62,Birdwatch at Kranji Marshes,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,"outdoor, animals, nature"
72,Bike or hike through the Park Connector Network,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,"outdoor, exercise, nature"
74,Have a seaside meal while yacht-viewing,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,"indoor, food"
75,Dine amidst nature at Lucky Saigon Cafe,"356 Tanglin Road, Singapore 247674",247674,6556 8228,"8am-10pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,103.815001,1.29471,"outdoor, food, nature"
78,Take your dog to a dog-friendly cafe,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,"indoor, animals, food"
83,Visit the Science Centre,"15 Science Centre Road, Singapore 609081",609081,6425 2500,Tue-Sun 10am-5pm (last entry 4.15pm) (Closed Mondays except for public holidays and school holidays),Closed,10am-5pm,Closed,Closed,Closed,Closed,10am-5pm,103.736132,1.333194,"indoor, enrichment"
84,Go museum-hopping,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,"indoor, enrichment"
85,Visit the Civil Defence Heritage Gallery,"62 Hill Street, Singapore 179367",179367,6332 2996,Tue-Sun 10am-5pm (Closed on Mondays),Closed,10am-5pm,Closed,Closed,Closed,Closed,10am-5pm,103.849296,1.292462,"indoor, enrichment"
87,Check out the Singapore Art Museum,"39 Keppel Road, Tanjong Pagar Distripark, #01-02, Singapore 089065",089065,not available,"10am-7pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,103.836708,1.272078,"indoor, enrichment"
93,Visit the ArtScience Museum,"6 Bayfront Avenue, Singapore 018974",018974,6688 8888,"10am-7pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,103.859286,1.286241,"indoor, enrichment"
99,Join the Kebun Baru Birdsinging Club,"Block 159 Ang Mo Kio Ave 5, Singapore 560159",560159,not available,Sat-Sun & PH 9.30am-12pm,Closed,Closed,Closed,Closed,Closed,30am-12pm,30am-12pm,103.839739,1.374582,"outdoor, culture"
124,Indulge on famous Singapore Chilli Crab, Various Locations ,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,"indoor, food"
127,Zoom down Singapore’s longest indoor waterslide,"HomeTeamNS Bedok Reservoir, 900 Bedok North Rd, Singapore",not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,"indoor, wet, thrill"
137,Enjoy the city’s best rooftop dining,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,103.9897607,1.3602083,"indoor, food"
145,Visit the new Bird Paradise,"20 Mandai Lake Rd, Singapore 729825",729825,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,"outdoor, animals, nature"
151,Get up close with animals,"80 Mandai Lake Rd, Singapore 729826",729826,not available,not available,not available,not available,not available,not available,not available,not available,not available,103.790678,1.404971,"outdoor, animals, nature"
158,Cosy up with a high tea,Various Locations,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available,"indoor, food"
